UniProtKB:P01160	Natriuretic peptides A		GO:0043508		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR14066	protein		PMID:22399583	20190909
UniProtKB:P01133	Pro-epidermal growth factor		GO:0045741	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:P00533"", ""label"": ""UniProtKB:P00533""}}|{""relationship"": {""relation"": [{""id"": ""RO:0002213"", ""label"": ""positively regulates""}], ""id"": ""GO:0031623"", ""label"": ""receptor internalization""}}"	ParkinsonsUK-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR46513	protein		PMID:22732145	20161111
UniProtKB:P01133	Pro-epidermal growth factor		GO:0045741		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR46513	protein		PMID:9712850	20090406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0032147		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0032148		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:11788434	20110405
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:17942966	20110404
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043406		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:9685360	20080212
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043552		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0045737		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110407
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0061098		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11633	protein		PMID:16530387	20110406
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0043406		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000180420|RGD:3283|UniProtKB:P01127|UniProtKB:P04085	PANTHER:PTHR11633	protein		PMID:21873635	20170228
UniProtKB:Q9UEE5	Serine/threonine-protein kinase 17A		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24342	protein		PMID:9786912	20031125
UniProtKB:Q9UEE5	Serine/threonine-protein kinase 17A		GO:0004674		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:1203520|PANTHER:PTN000678761|RGD:620457|RGD:621766|UniProtKB:O43293|UniProtKB:O94768|UniProtKB:Q9UEE5	PANTHER:PTHR24342	protein		PMID:21873635	20170228
UniProtKB:P01116	GTPase KRas		GO:0043406		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P08644|ensembl:ENSRNOP00000012588	PANTHER:PTHR24070	protein		GO_REF:0000107	20190816
UniProtKB:P01112	GTPase HRas		GO:0043406		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24070	protein		PMID:23027131	20121130
UniProtKB:Q05655	Protein kinase C delta type		GO:0004672	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""CL:0000575"", ""label"": ""corneal epithelial cell""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:24008408	20150716
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:10770950	20110808
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24356	protein		PMID:12391145	20131219
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674		Reactome	NCBITaxon:9606	EXP		PANTHER:PTHR24356	protein		PMID:18285462	20150207
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:18285462	20160307
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:P23396"", ""label"": ""UniProtKB:P23396""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:19059439	20150917
UniProtKB:Q05655	Protein kinase C delta type		GO:0004697		UniProt	NCBITaxon:9606	ISS	UniProtKB:P28867	PANTHER:PTHR24356	protein		GO_REF:0000024	20120921
UniProtKB:Q05655	Protein kinase C delta type		GO:0004699		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24356	protein		PMID:14583092	20090227
UniProtKB:Q05655	Protein kinase C delta type		GO:0004715		UniProt	NCBITaxon:9606	IEA	EC:2.7.10.2	PANTHER:PTHR24356	protein		GO_REF:0000003	20190914
UniProtKB:Q05655	Protein kinase C delta type		GO:0032147	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:P00519"", ""label"": ""UniProtKB:P00519""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0070301"", ""label"": ""cellular response to hydrogen peroxide""}}"	ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24356	protein		PMID:10713049	20160125
UniProtKB:Q05655	Protein kinase C delta type		GO:0043407		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24356	protein		PMID:19279008	20110616
UniProtKB:Q05655	Protein kinase C delta type		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003091|FB:FBgn0003744|FB:FBgn0010379|FB:FBgn0260399|FB:FBgn0261854|MGI:MGI:104874|MGI:MGI:2182368|MGI:MGI:87986|MGI:MGI:894676|MGI:MGI:97595|MGI:MGI:97596|MGI:MGI:97599|MGI:MGI:97602|PANTHER:PTN000683254|PomBase:SPAC1B9.02c|PomBase:SPAC22E12.14c|PomBase:SPAC24B11.11c|PomBase:SPAC821.12|PomBase:SPAPB18E9.02c|PomBase:SPCC576.15c|RGD:2081|RGD:2082|RGD:3399|RGD:3668|RGD:620146|RGD:620968|RGD:62390|SGD:S000001248|SGD:S000001609|SGD:S000001861|SGD:S000002898|SGD:S000003324|SGD:S000005105|SGD:S000005460|SGD:S000006315|TAIR:locus:2088515|UniProtKB:O15530|UniProtKB:O95835|UniProtKB:P05771|UniProtKB:P17252|UniProtKB:P31749|UniProtKB:P31751|UniProtKB:P41743|UniProtKB:Q02156|UniProtKB:Q04759|UniProtKB:Q05513|UniProtKB:Q05655|UniProtKB:Q09013|UniProtKB:Q15208|UniProtKB:Q16512|UniProtKB:Q16513|UniProtKB:Q96GX5|UniProtKB:Q9NRM7|UniProtKB:Q9XF67|UniProtKB:Q9Y243|UniProtKB:Q9Y2H1|WB:WBGene00000102|WB:WBGene00000103|WB:WBGene00004034|WB:WBGene00004789|WB:WBGene00006599|dictyBase:DDB_G0268620	PANTHER:PTHR24356	protein		PMID:21873635	20170228
UniProtKB:Q05639	Elongation factor 1-alpha 2		GO:0090218	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:Q9UBF8"", ""label"": ""UniProtKB:Q9UBF8""}}"	UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR23115	protein		PMID:17088255	20150116
UniProtKB:Q8WYR1	Phosphoinositide 3-kinase regulatory subunit 5		GO:0043406		UniProt	NCBITaxon:9606	ISS	UniProtKB:O02696	PANTHER:PTHR15593	protein		GO_REF:0000024	20120702
UniProtKB:Q8WYR1	Phosphoinositide 3-kinase regulatory subunit 5		GO:0043551		Ensembl	NCBITaxon:9606	IEA	UniProtKB:D4A4I3|ensembl:ENSRNOP00000030578	PANTHER:PTHR15593	protein		GO_REF:0000107	20190816
UniProtKB:Q8WYR1	Phosphoinositide 3-kinase regulatory subunit 5		GO:0043406		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2144613|PANTHER:PTN001436768	PANTHER:PTHR15593	protein		PMID:21873635	20170228
UniProtKB:Q8WYR1	Phosphoinositide 3-kinase regulatory subunit 5		GO:0046935		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:2144613|PANTHER:PTN001436768|RGD:1563261	PANTHER:PTHR15593	protein		PMID:21873635	20170228
UniProtKB:Q92831	Histone acetyltransferase KAT2B		GO:0004861		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q9JHD1	PANTHER:PTHR45750	protein		GO_REF:0000024	20091117
UniProtKB:Q92831	Histone acetyltransferase KAT2B		GO:0045736		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9JHD1|ensembl:ENSMUSP00000000724	PANTHER:PTHR45750	protein		GO_REF:0000107	20190816
UniProtKB:P43250	G protein-coupled receptor kinase 6		GO:0004703		UniProt	NCBITaxon:9606	IEA	EC:2.7.11.16	PANTHER:PTHR24355	protein		GO_REF:0000003	20190914
UniProtKB:P43250	G protein-coupled receptor kinase 6		GO:0047696		CACAO	NCBITaxon:9606	IDA		PANTHER:PTHR24355	protein		PMID:20038610	20130223
UniProtKB:P43250	G protein-coupled receptor kinase 6		GO:0047696		CACAO	NCBITaxon:9606	IMP		PANTHER:PTHR24355	protein		PMID:20038610	20130224
UniProtKB:P43250	G protein-coupled receptor kinase 6		GO:0047696		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24355	protein		Reactome:R-HSA-8851797	20170821
UniProtKB:Q99572	P2X purinoceptor 7		GO:0000187		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9Z1M0|ensembl:ENSMUSP00000098303	PANTHER:PTHR10125	protein		GO_REF:0000107	20190816
UniProtKB:P11387	DNA topoisomerase 1		GO:0004674		CAFA	NCBITaxon:9606	IMP		PANTHER:PTHR10290	protein		PMID:9611241	20161128
UniProtKB:Q92878	DNA repair protein RAD50		GO:0033674		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR18867	protein		PMID:15790808	20091102
UniProtKB:Q92878	DNA repair protein RAD50		GO:0004017		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000429848|SGD:S000005194	PANTHER:PTHR18867	protein		PMID:21873635	20170228
UniProtKB:Q9Y4K3	TNF receptor-associated factor 6		GO:0000187		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR10131	protein		Reactome:R-HSA-450302	20181122
UniProtKB:Q9Y4K3	TNF receptor-associated factor 6		GO:0007250		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR10131	protein		PMID:15125833	20061121
UniProtKB:Q9Y4K3	TNF receptor-associated factor 6		GO:0032147		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10131	protein		PMID:17135271	20100118
UniProtKB:Q9Y4K3	TNF receptor-associated factor 6		GO:0043507		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10131	protein		PMID:11751921	20110704
UniProtKB:Q9Y4K3	TNF receptor-associated factor 6		GO:0043507		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR10131	protein		PMID:17135271	20100118
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0004713		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:8622701	20110913
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0005007		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:18480409	20110811
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0005007		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:20133753	20110303
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0005007		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR24416	protein		PMID:2167437	20050308
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:18480409	20110811
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24416	protein		PMID:8622701	20110913
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0004714		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0003733|FB:FBgn0040505|FB:FBgn0283499|MGI:MGI:109378|MGI:MGI:1339758|MGI:MGI:1345277|MGI:MGI:95276|MGI:MGI:95294|MGI:MGI:95522|MGI:MGI:95524|MGI:MGI:95558|MGI:MGI:95561|MGI:MGI:96677|MGI:MGI:96683|MGI:MGI:96969|MGI:MGI:97384|MGI:MGI:97530|MGI:MGI:97902|MGI:MGI:98277|MGI:MGI:99611|MGI:MGI:99612|MGI:MGI:99654|PANTHER:PTN002356460|RGD:2543|RGD:2611|RGD:2621|RGD:2869|RGD:2917|RGD:2965|RGD:3082|RGD:3213|RGD:3214|RGD:3284|RGD:3285|RGD:620144|RGD:620714|RGD:620831|RGD:621737|UniProtKB:P00533|UniProtKB:P04626|UniProtKB:P04629|UniProtKB:P06213|UniProtKB:P07333|UniProtKB:P07949|UniProtKB:P08069|UniProtKB:P09619|UniProtKB:P10721|UniProtKB:P11362|UniProtKB:P14616|UniProtKB:P16234|UniProtKB:P17948|UniProtKB:P21709|UniProtKB:P21802|UniProtKB:P22455|UniProtKB:P22607|UniProtKB:P29317|UniProtKB:P29320|UniProtKB:P35916|UniProtKB:P35968|UniProtKB:P54753|UniProtKB:P54760|UniProtKB:P54762|UniProtKB:Q08345|UniProtKB:Q15303|UniProtKB:Q16620|UniProtKB:Q16832|UniProtKB:Q5JZY3|UniProtKB:Q91987|UniProtKB:Q9UM73|WB:WBGene00000289|WB:WBGene00006868|WB:WBGene00020504|ZFIN:ZDB-GENE-980526-255	PANTHER:PTHR24416	protein		PMID:21873635	20180820
UniProtKB:P11362	Fibroblast growth factor receptor 1		GO:0005007		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:95522|MGI:MGI:95524|PANTHER:PTN000699279|RGD:2611|RGD:620714|UniProtKB:P11362|UniProtKB:P21802|UniProtKB:P22607|ZFIN:ZDB-GENE-980526-255	PANTHER:PTHR24416	protein		PMID:21873635	20181024
UniProtKB:P18089	Alpha-2B adrenergic receptor		GO:0000187		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P19328|ensembl:ENSRNOP00000018584	PANTHER:PTHR24248	protein		GO_REF:0000107	20190816
UniProtKB:P18089	Alpha-2B adrenergic receptor		GO:0032148		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR24248	protein		PMID:17215105	20100630
UniProtKB:Q3V6T2	Girdin		GO:0032148		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q5SNZ0	PANTHER:PTHR18947	protein		GO_REF:0000024	20070418
UniProtKB:P18075	Bone morphogenetic protein 7		GO:0043407		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11848	protein		PMID:17244894	20100114
UniProtKB:P18074	General transcription and DNA repair factor IIH helicase subunit XPD	contributes_to	GO:0004672		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11472	protein		PMID:9852112	20090824
UniProtKB:P18074	General transcription and DNA repair factor IIH helicase subunit XPD	contributes_to	GO:0008353		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11472	protein		PMID:9852112	20090824
UniProtKB:P18074	General transcription and DNA repair factor IIH helicase subunit XPD	contributes_to	GO:0008353		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000158239|UniProtKB:P18074	PANTHER:PTHR11472	protein		PMID:21873635	20180219
UniProtKB:P11309	Serine/threonine-protein kinase pim-1		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22984	protein		PMID:18056989	20190828
UniProtKB:P11309	Serine/threonine-protein kinase pim-1		GO:0004674		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR22984	protein		PMID:1825810	20051115
UniProtKB:P11309	Serine/threonine-protein kinase pim-1		GO:0004674		GO_Central	NCBITaxon:9606	IBA	MGI:MGI:97584|MGI:MGI:97587|PANTHER:PTN001122685|RGD:620462|UniProtKB:P11309|UniProtKB:Q86V86|UniProtKB:Q9P1W9	PANTHER:PTHR22984	protein		PMID:21873635	20170228
UniProtKB:P18031	Tyrosine-protein phosphatase non-receptor type 1		GO:0007257		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P35821|ensembl:ENSMUSP00000029053	PANTHER:PTHR46047	protein		GO_REF:0000107	20190816
UniProtKB:P18031	Tyrosine-protein phosphatase non-receptor type 1		GO:0043407		CACAO	NCBITaxon:9606	IMP		PANTHER:PTHR46047	protein		PMID:22045810	20111105
UniProtKB:P18031	Tyrosine-protein phosphatase non-receptor type 1		GO:0061098	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""PR:000002997"", ""label"": ""PR:000002997""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""UBERON:0001264"", ""label"": ""pancreas""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0034976"", ""label"": ""response to endoplasmic reticulum stress""}}"	ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46047	protein		PMID:21216966	20150226
UniProtKB:Q15848	Adiponectin		GO:0043407		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q60994	PANTHER:PTHR15427	protein		GO_REF:0000024	20110301
UniProtKB:Q15848	Adiponectin		GO:2000481		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR15427	protein		PMID:18431508	20110403
UniProtKB:Q15848	Adiponectin		GO:2000481		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR15427	protein		PMID:19524870	20110403
UniProtKB:Q5TCY1	Tau-tubulin kinase 1		GO:0004674	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:P10636"", ""label"": ""UniProtKB:P10636""}}"	ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11909	protein		PMID:16923168	20190619
UniProtKB:Q5TCY1	Tau-tubulin kinase 1		GO:0004713	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000752"", ""label"": ""has_direct_input""}], ""id"": ""UniProtKB:P10636"", ""label"": ""UniProtKB:P10636""}}"	ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11909	protein		PMID:16923168	20190619
UniProtKB:Q5TCY1	Tau-tubulin kinase 1		GO:0050321		ARUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR11909	protein		PMID:16923168	20190619
UniProtKB:Q5TCY1	Tau-tubulin kinase 1		GO:1904031	"{""relationship"": {""relation"": [{""id"": ""GOREL:0000015"", ""label"": ""has_regulation_target""}], ""id"": ""UniProtKB:Q00535"", ""label"": ""UniProtKB:Q00535""}}"	ARUK-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR11909	protein		PMID:19118186	20171103
UniProtKB:Q5TCY1	Tau-tubulin kinase 1		GO:0004674		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0002413|FB:FBgn0015024|FB:FBgn0031441|FB:FBgn0032650|FB:FBgn0037325|MGI:MGI:1261847|MGI:MGI:1917172|MGI:MGI:2155779|PANTHER:PTN000225966|PomBase:SPAC23C4.12|PomBase:SPBC1347.06c|PomBase:SPBC3H7.15|PomBase:SPBC776.12c|RGD:62045|RGD:621404|RGD:621407|RGD:621408|RGD:71031|RGD:71098|SGD:S000001177|SGD:S000002175|SGD:S000005098|SGD:S000006125|TAIR:locus:2091566|TAIR:locus:2117843|TAIR:locus:2121338|TAIR:locus:2130290|UniProtKB:A0A0B4KHL4|UniProtKB:P35507|UniProtKB:P35508|UniProtKB:P48729|UniProtKB:P48730|UniProtKB:P49674|UniProtKB:P67827|UniProtKB:P78368|UniProtKB:Q39050|UniProtKB:Q6IQ55|UniProtKB:Q86Y07|UniProtKB:Q99986|UniProtKB:Q9HCP0|UniProtKB:Q9Y6M4|dictyBase:DDB_G0273059	PANTHER:PTHR11909	protein		PMID:21873635	20180524
UniProtKB:Q15835	Rhodopsin kinase GRK1		GO:0004672		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24355	protein		PMID:1656454	20030904
UniProtKB:Q15835	Rhodopsin kinase GRK1		GO:0004672		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24355	protein		PMID:9147475	20030904
UniProtKB:Q15835	Rhodopsin kinase GRK1		GO:0004703		InterPro	NCBITaxon:9606	IEA	InterPro:IPR000239|InterPro:IPR032965	PANTHER:PTHR24355	protein		GO_REF:0000002	20190907
UniProtKB:Q15835	Rhodopsin kinase GRK1		GO:0050254		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24355	protein		PMID:15946941	20110715
UniProtKB:P21359	Neurofibromin		GO:0006469		HGNC	NCBITaxon:9606	ISS	UniProtKB:Q04690	PANTHER:PTHR10194	protein		GO_REF:0000024	20070608
UniProtKB:P21359	Neurofibromin		GO:0043407		HGNC	NCBITaxon:9606	ISS	UniProtKB:Q04690	PANTHER:PTHR10194	protein		GO_REF:0000024	20070608
UniProtKB:Q00013	55 kDa erythrocyte membrane protein		GO:0004385		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR23122	protein		PMID:1310897	20030904
UniProtKB:Q15811	Intersectin-1		GO:0019209		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9Z0R4|ensembl:ENSMUSP00000109635	PANTHER:PTHR11216	protein		GO_REF:0000107	20190816
UniProtKB:Q15811	Intersectin-1		GO:0033674		GOC	NCBITaxon:9606	IEA	GO:0019209	PANTHER:PTHR11216	protein		GO_REF:0000108	20190914
UniProtKB:P21583	Kit ligand		GO:0043406		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P20826|ensembl:ENSMUSP00000100920	PANTHER:PTHR11574	protein		GO_REF:0000107	20190816
UniProtKB:P21580	Tumor necrosis factor alpha-induced protein 3		GO:0045736		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q60769|ensembl:ENSMUSP00000019997	PANTHER:PTHR13367	protein		GO_REF:0000107	20190816
UniProtKB:Q5TCS8	Adenylate kinase 9		GO:0004550		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR23359	protein		PMID:23416111	20130729
UniProtKB:Q5TCS8	Adenylate kinase 9		GO:0050145		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR23359	protein		PMID:23416111	20130729
UniProtKB:Q5TCQ9	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3		GO:0004385		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR10316	protein		PMID:10748157	20090812
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0004672		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR10048	protein		PMID:19376709	20120103
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0004674		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0723	PANTHER:PTHR10048	protein		GO_REF:0000037	20190914
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0016301		MGI	NCBITaxon:9606	IDA		PANTHER:PTHR10048	protein		PMID:25327288	20160824
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0035004		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR10048	protein		PMID:17290298	20120103
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0043406		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10048	protein		PMID:12507995	20120702
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0046934		UniProt	NCBITaxon:9606	IEA	EC:2.7.1.153	PANTHER:PTHR10048	protein		GO_REF:0000003	20190914
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0052812		UniProt	NCBITaxon:9606	IEA	EC:2.7.1.153	PANTHER:PTHR10048	protein		GO_REF:0000003	20190914
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0035005		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0015278|FB:FBgn0015279|PANTHER:PTN000005674|RGD:620231	PANTHER:PTHR10048	protein		PMID:21873635	20170228
UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform		GO:0016303		GO_Central	NCBITaxon:9606	IBA	FB:FBgn0015278|FB:FBgn0015279|MGI:MGI:1203729|MGI:MGI:1206581|MGI:MGI:1922019|PANTHER:PTN000005674|RGD:620916|RGD:620917|UniProtKB:P42336	PANTHER:PTHR10048	protein		PMID:21873635	20170228
